county,locality,lat,lng,address,,height_regime,year_built,risk_category,consolidation_status,examination_year,certified_expert,observations
Dolj,Craiova,44.312532,23.8534718,"Str. Calea Bucureşti, nr. 126","Jud. Dolj, Mun. Craiova, Str. Calea Bucureşti, nr. 126",P+1E,1933,RS3,NO,2008,ing. Pârvu Marin,"sediu Spitalul Clinic de Boli Infecţioase şi Pneumoftiziologie ""Victor Babeş"" Craiova - Secţia TBC corp 3B"
Dolj,Craiova,44.31293106,23.84907341,"Str. Calea Bucureşti, nr. 99","Jud. Dolj, Mun. Craiova, Str. Calea Bucureşti, nr. 99",S+P,1908,RS3,NO,2009,ing. Gavrilă Gheorghe,sediu Spitalul Clinic de Neuropsihiatrie - Pavilion psihiatrie 2
Dolj,Craiova,44.3180825,23.816594,"Str. Calea Bucureşti, nr. 99","Jud. Dolj, Mun. Craiova, Str. Calea Bucureşti, nr. 99",P,1908,RS3,YES_PUBLIC,2007,ing. Stângă Gheorghe,sediu Spitalul Clinic de Neuropsihiatrie - Centru de Sănătate Mintală
Dolj,Craiova,44.3145371,23.8009521,"Str. C. D. Fortunescu, nr. 2","Jud. Dolj, Mun. Craiova, Str. C. D. Fortunescu, nr. 2",S+P+1E,1846,RS1,NO,2002,ing. Gavrilă Gheorghe,sediu ISU Dolj - pavilion administrat IV - Evacuat 2008
Dolj,Craiova,44.3160825,23.806321,"str. Împăratul Traian, nr. 39","Jud. Dolj, Mun. Craiova, str. Împăratul Traian, nr. 39",S parţial+P+1E,1890,RS2,DEMOLISHED,1999,ing. Hotinceanu Mihail,clădire Grup Şcolar Charles Laugier - închiriat către Şcoala Postliceală Christiana
Dolj,Craiova,44.315931,23.806608,"str. Împăratul Traian, nr. 39","Jud. Dolj, Mun. Craiova, str. Împăratul Traian, nr. 39",P+1E,1890,RS2,NO,1999,ing. Hotinceanu Mihail,clădire Grup Şcolar Charles Laugier - închiriat către RAADPFL Craiova - spaţiu depozitare
Dolj,Craiova,44.3155066,23.7973275,"str. Mihail Kogălniceanu, nr. 10","Jud. Dolj, Mun. Craiova, str. Mihail Kogălniceanu, nr. 10",Sp+P+1E,1900,RS3,NO,2014,ing. Gavrilă Gheorghe,sediu Administraţia Judeţeană a Finanţelor Publice Dolj din cadrul Direcţiei Generale Regionale a Finanţelor Publice Craiova
Dolj,Craiova,44.3042995,23.8185611,"str. Revoluţiei, nr. 15","Jud. Dolj, Mun. Craiova, str. Revoluţiei, nr. 15",S+P+1E+Eth,1974,RS3,NO,2018,ing. Constantin Pavel,"Grădiniţa ""Elena Farago"" Craiova (fostă nr. 41) + Cresa nr. 8 - reabilitare termica"
Dolj,Craiova,44.3086524,23.7985083,"Str. Petru Rareş, nr. 4","Jud. Dolj, Mun. Craiova, Str. Petru Rareş, nr. 4",S+P+2E+M,1928,RS3,NO,2000,ing. Pârvu Marin,Sediu clădire Medicina Veche
Dolj,Craiova,44.3046504,23.7945268,"B-dul 1 Mai, nr. 68","Jud. Dolj, Mun. Craiova, B-dul 1 Mai, nr. 68",Sp+P+1E,1978,RS3,NO,2011,ing. Greblescu Daniel,Cantina Facultăţii de Medicină şi Farmacie
Dolj,Craiova,44.317254,23.7944768,"Str. Calea Unirii, nr. 16","Jud. Dolj, Mun. Craiova, Str. Calea Unirii, nr. 16",Sp+P+2E,1957,RS2,YES_PUBLIC,2005,Ing. Dumitrescu Dan ing. Pârvu Marin,Filarmonica Oltenia - Consolidat buget local
Dolj,Craiova,44.3139207,23.7951431,str. Stirbei Voda nr.2,"Jud. Dolj, Mun. Craiova, str. Stirbei Voda nr.2",P+E+Pod,1898,RS2,NO,2017,ing. Anatolie Cazacliu,Casa Rusănescu (sediu Casa Căsătoriilor) - exista autorizatie de construire a fost realizat proiectul
Dolj,Craiova,44.3184394,23.7948393,Str. A. I. Cuza nr. 1 S1,"Jud. Dolj, Mun. Craiova, Str. A. I. Cuza nr. 1 S1",S+P+M+4E,1920,RS2,NO,2014,Ing. Szekeres Gero,Sediu 2 Primăria Craiova - în curs de consolidare
Dolj,Craiova,44.3186275,23.7966361,Str. A. I. Cuza nr. 7,"Jud. Dolj, Mun. Craiova, Str. A. I. Cuza nr. 7",S+P+1E,1916,RS2,NO,2014,Ing. Szekeres Gero,Sediu 1 Primăria Craiova - în curs de consolidare
Dolj,Craiova,44.3155715,23.8151166,"Str. Nanterre, bl. C3, sc. 3","Jud. Dolj, Mun. Craiova, Str. Nanterre, bl. C3, sc. 3",S+P+4E,1963,RS4,NO,2012,Ing. Bistriceanu Viorel,bloc locuinte
Dolj,Craiova,44.3271628,23.8145304,"B-dul Carol, nr. 150, bl. C1, sc. D","Jud. Dolj, Mun. Craiova, B-dul Carol, nr. 150, bl. C1, sc. D",S+P+4E,1975,RS3,NO,2014,ing. Gavrilă Gheorghe,bloc locuinte
Dolj,Craiova,44.3925098,23.7409846,"Str. A. I. Cuza, bl. 150 ap Sc. 1","Jud. Dolj, Mun. Craiova, Str. A. I. Cuza, bl. 150 ap Sc. 1",P+4E,1965,RS4,NO,2016,ing. Gavrilă Gheorghe,bloc locuinte
Dolj,Craiova,44.3148963,23.8189292,"Str. Nanterre, nr. 77, bl. C2, sc. 3","Jud. Dolj, Mun. Craiova, Str. Nanterre, nr. 77, bl. C2, sc. 3",S+P+4E,1965,RS4,NO,2014,ing. Gavrilă Gheorghe,bloc locuinte
Dolj,Craiova,44.316552,23.7965971,"Str. Lipscani, nr. 4","Jud. Dolj, Mun. Craiova, Str. Lipscani, nr. 4",S+P+1E,1900,RS3,NO,2016,Ing. Moga Alexandru,Spaţiu comercial la parter locuinţă la etaj
Dolj,Craiova,44.3242506,23.7971581,"Str. Principatele Unite, bl. 14, sc. 2","Jud. Dolj, Mun. Craiova, Str. Principatele Unite, bl. 14, sc. 2",S+P+2E,1954,RS4,NO,2010,Ing. Bistriceanu Viorel,Locuintă tip apartamente
Dolj,Craiova,44.3163432,23.8175298,"Str. Calea Bucureşti, nr. 48, bl. A6, sc. 4","Jud. Dolj, Mun. Craiova, Str. Calea Bucureşti, nr. 48, bl. A6, sc. 4",P+4E,1982,RS4,NO,2012,ing. Gavrilă Gheorghe,bloc locuinte
Dolj,Craiova,44.3253204,23.7896357,"B-dul. N. Titulescu, nr. 40 (fost 33)","Jud. Dolj, Mun. Craiova, B-dul. N. Titulescu, nr. 40 (fost 33)",S+P+1E,1920,RS2,NO,2018,ing. Guleac V. Bogdan,Spital Clinic Municipal Filantropia - Cladire ambulatoriu adulti - reabilitata in 2022 - dupa expertiza III
Dolj,Craiova,44.3122837,23.7963748,"Str. Unirii, nr. 57","Jud. Dolj, Mun. Craiova, Str. Unirii, nr. 57",S+P+1E,1903,RS2,NO,2018,Ing. Niculae Teodor,Casa Universitarilor
Dolj,Craiova,44.318912,23.783693,"Str. Câmpia Islaz, nr. 89","Jud. Dolj, Mun. Craiova, Str. Câmpia Islaz, nr. 89",P,1850,RS1,NO,2018,Ing. Niculae Teodor,Hală Didactică (Fosta Fabrică de Motoare A.Weichmann) - evacuata
Dolj,Craiova,44.317823,23.8001131,str. Olteţ nr. 25 (fost nr. 23),"Jud. Dolj, Mun. Craiova, str. Olteţ nr. 25 (fost nr. 23)",Sp+P+1E+M,1890,RS1,NO,2018,ing. Chirică C. Anton,"casa secol XIX, monument istoric părăsit - monument istoric părăsit"
Dolj,Craiova,44.3170332,23.7978017,str. Romain Rolland nr. 8 (fost nr. 6A),"Jud. Dolj, Mun. Craiova, str. Romain Rolland nr. 8 (fost nr. 6A)",Sp+P+1E,1875,RS1,NO,2018,ing. Voiculescu M. Mihai,"locuinţe, monument istoric - monument istoric evacuat"
Dolj,Craiova,44.3061153,23.8434404,"str. Dr. Apelor nr. 66 Modul A1, Corp C13, Corp C14, Corp C15","Jud. Dolj, Mun. Craiova, str. Dr. Apelor nr. 66 Modul A1, Corp C13, Corp C14, Corp C15",P,1970,RS1,DEMOLISHED,2019,ing. Sofronie A Ramiro,locuinte
Dolj,Craiova,44.30634835,23.8436066,str. Dr. Apelor nr. 66 Module M1-M11,"Jud. Dolj, Mun. Craiova, str. Dr. Apelor nr. 66 Module M1-M11",P,1970,RS1,DEMOLISHED,2019,ing. Sofronie A Ramiro,locuinte
Dolj,Craiova,44.3270157,23.7685884,Str. Brestei nr. 234,"Jud. Dolj, Mun. Craiova, Str. Brestei nr. 234",P+1 corp C1,1966,RS3,NO,2022,ing. Gavrila Ghe.,Scoala Ion Creanga - în curs de consolidare
Dolj,Craiova,44.3263601,23.7675164,Str. Brestei nr. 235,"Jud. Dolj, Mun. Craiova, Str. Brestei nr. 235",P corp C2,1975,RS3,NO,2022,ing. Gavrila Ghe.,Scoala Ion Creanga - în curs de consolidare
Dolj,Craiova,44.3264642,23.7684224,Str. Brestei nr. 236,"Jud. Dolj, Mun. Craiova, Str. Brestei nr. 236",P+2 corp C5,1975,RS3,NO,2022,ing. Gavrila Ghe.,Scoala Ion Creanga - în curs de consolidare
Dolj,Craiova,44.3060251,23.8234601,str. Electroputere nr. 21,"Jud. Dolj, Mun. Craiova, str. Electroputere nr. 21",S+P+2E,1955,RS4,NO,2021,expert tehnic Zefir Apostol,Gradinita Castelul Fermecat - in curs de proiectare
Dolj,Craiova,44.3289225,23.8004638,str. Doljului nr. 12,"Jud. Dolj, Mun. Craiova, str. Doljului nr. 12",P,1968,RS4,NO,2021,expert tehnic Zefir Apostol,Colegiul National Nicolae Titulescu C2 sala sport - in curs de proiectare
Dolj,Craiova,44.32867369,23.80012386,str. Doljului nr. 12,"Jud. Dolj, Mun. Craiova, str. Doljului nr. 12",P,1968,RS3,NO,2021,expert tehnic Zefir Apostol,Colegiul National Nicolae Titulescu - cladire - in curs de proiectare
Dolj,Craiova,44.3223759,23.795766,str. Principatele Unite nr.1,"Jud. Dolj, Mun. Craiova, str. Principatele Unite nr.1",Sp+P+Pod,1922,RS2,NO,2022,ing. Mihai Pavel,"Gradinita Casuta Fermecata - in curs de proiectare, inclusa in lista de sinteză PNCCRS (Programul național de reabilitare a cladirilor cu risc seismic ridicat)"
Dolj,Craiova,44.3169628,23.8193464,str. Stefan Velovan nr.4,"Jud. Dolj, Mun. Craiova, str. Stefan Velovan nr.4",S+P+1E,1965,RS4,NO,2022,ing. Mihai Pavel,Gradinita Pinochio - in curs de proiectare
Dolj,Craiova,44.3269844,23.8067868,str. Lamaitei nr.4 P+2 corp C1,"Jud. Dolj, Mun. Craiova, str. Lamaitei nr.4 P+2 corp C1",P,1963,RS3,NO,2022,expert tehnic ing. Gavrila Ghe.,corp C2 Scoala Gimnaziala Sf. Gheorghe - în curs de obținere autorizație de construire
Dolj,Craiova,44.3297089,23.8039821,str. Brazda lui Novac nr. 87,"Jud. Dolj, Mun. Craiova, str. Brazda lui Novac nr. 87",P+2 corp A P corp B P+2 corp C,1970,RS3,NO,2022,expert tehnic ing. Gavrila Ghe.,Scoala Gimnaziala Sf. Gheorghe - in curs de proiectare
Dolj,Craiova,44.318491,23.7920483,str. Ion Maiorescu nr.2 ,"Jud. Dolj, Mun. Craiova, str. Ion Maiorescu nr.2 ",Sp+P+M+E1 ,1930,RS2,NO,2020,ing. Szalontay Coloman Andrei,Colegiul National Carol I - sala sport - dupa reabilitare IV
Dolj,Craiova,44.317316,23.791428,str. Ion Maiorescu nr.6,"Jud. Dolj, Mun. Craiova, str. Ion Maiorescu nr.6",S+P+2E colegiul S+P+3E Opera,1895,RS2,NO,2016,ing. Popescu Dumitru Dan Badea Dragos Coriolan,Colegiul National Carol I - corp central si Opera Romana - în curs de consolidare dupa reabilitare III
Dolj,Craiova,44.3207091,23.773316,str. Raului nr.2,"Jud. Dolj, Mun. Craiova, str. Raului nr.2",S+P+1E,1981,RS4,NO,2022,expert tehnic ing. Gavrila Ghe.,Gradinita Voinicelu structura Scoala Ion Creanga - în curs de consolidare
Dolj,Craiova,44.3221354,23.7771418,str. Brestei nr. 129,"Jud. Dolj, Mun. Craiova, str. Brestei nr. 129",P+1,1967,N/A,NO,2022,ing. Stefan Catalin,Liceul Charles Laugier - corp C9 - în curs de evaluare în PNCCRS (Programul național de reabilitare a cladirilor cu risc seismic ridicat) dupa reabilitare IV
Dolj,Craiova,44.3306553,23.8116927,str. Brazda lui Novac nr. 106,"Jud. Dolj, Mun. Craiova, str. Brazda lui Novac nr. 106",S+P+4E,1980,RS3,NO,2022,Ing. Niculae Teodor,bloc 43 IVA1 - în curs de reabilitare termică
Dolj,Craiova,44.3298241,23.8111019,bld. Dacia nr. 185,"Jud. Dolj, Mun. Craiova, bld. Dacia nr. 185",S+P+4E,1989,RS3,NO,2022,Ing. Niculae Teodor,bloc 75 IVA1 - în curs de reabilitare termică
Dolj,Craiova,44.3133921,23.9020562,str. Calea Bucuresti nr.1,"Jud. Dolj, Mun. Craiova, str. Calea Bucuresti nr.1",S+P+4E,1989,RS3,NO,2022,Ing. Niculae Teodor,bloc 23C - în curs de reabilitare termică
Dolj,Craiova,44.3211531,23.7973278,str. Calea Bucuresti nr.3,"Jud. Dolj, Mun. Craiova, str. Calea Bucuresti nr.3",S+P+4E,1989,RS3,NO,2022,Ing. Niculae Teodor,bloc 23D - în curs de reabilitare termică
Dolj,Craiova,44.3252817,23.7770016,str. Parcului nr.2,"Jud. Dolj, Mun. Craiova, str. Parcului nr.2",S+P+4E,1984,RS3,NO,2022,Ing. Niculae Teodor,bloc C1 - în curs de reabilitare termică
Dolj,Craiova,44.3301785,23.7948808,str. George Breazu nr.1,"Jud. Dolj, Mun. Craiova, str. George Breazu nr.1",S+P+4E,1981,RS3,NO,2022,Ing. Niculae Teodor,bloc H14 - în curs de reabilitare termică
Dolj,Craiova,44.3278638,23.8106812,str. Constantin Argetoianu nr. 46,"Jud. Dolj, Mun. Craiova, str. Constantin Argetoianu nr. 46",S+P+4E,1987,RS3,NO,2022,Ing. Niculae Teodor,bloc K33 - in curs de reabilitare termica
Dolj,Craiova,44.3278223,23.8103534,str. Constantin Argetoianu nr. 44,"Jud. Dolj, Mun. Craiova, str. Constantin Argetoianu nr. 44",S+P+4E,1987,RS3,NO,2022,Ing. Niculae Teodor,bloc K34 - in curs de reabilitare termica
Dolj,Craiova,44.3249955,23.7768366,str. Parcului nr.4,"Jud. Dolj, Mun. Craiova, str. Parcului nr.4",S+P+4E,1984,RS3,NO,2022,Ing. Niculae Teodor,bloc C3 - în curs de reabilitare termică
Dolj,Craiova,44.3265103,23.7982731,str. Serban Voda nr. 30,"Jud. Dolj, Mun. Craiova, str. Serban Voda nr. 30",S+P+8E+Eth,1994,RS3,NO,2022,Ing. Niculae Teodor,bloc C13c - in curs de reabilitare termica
Dolj,Craiova,44.3265646,23.7978573,str. Serban Voda nr. 32,"Jud. Dolj, Mun. Craiova, str. Serban Voda nr. 32",S+P+8E+Eth,1994,RS3,NO,2022,Ing. Niculae Teodor,bloc C13b - in curs de reabilitare termica
Dolj,Craiova,44.3305637,23.8018263,str. Gral. Stefan Falcoianu nr.6,"Jud. Dolj, Mun. Craiova, str. Gral. Stefan Falcoianu nr.6",S+P+1E+Eth,1974,RS3,NO,2018,ing. Constantin Pavel,Gradinita cu program prelungit Casuta cu Povesti - reabilitare termica
Dolj,Craiova,44.3319031,23.7941346,str. Amaradia nr. 70 bl. F5A,"Jud. Dolj, Mun. Craiova, str. Amaradia nr. 70 bl. F5A",S+P+3E,1987,RS4,NO,2018,ing. Constantin Pavel,Gradinita cu program prelungit Curcubeul copilariei - reabilitare termica
Dolj,Craiova,44.3064873,23.8138022,str. Aurel Vlaicu nr. 10,"Jud. Dolj, Mun. Craiova, str. Aurel Vlaicu nr. 10",S+P+1E+Eth,1974,RS3,NO,2018,ing. Constantin Pavel,Gradinita cu program prelungit Ion Creanga - reabilitare termica
Dolj,Craiova,44.3335654,23.7817488,bld. Oltenia nr. 81,"Jud. Dolj, Mun. Craiova, bld. Oltenia nr. 81",S+P+1E+Eth,1974,RS3,NO,2018,ing. Constantin Pavel,Gradinita cu program prelungit Phoenix - reabilitare termica
Dolj,Craiova,44.3375835,23.779443,str. Tineretului nr. 28,"Jud. Dolj, Mun. Craiova, str. Tineretului nr. 28",S+P+1E+Eth,1974,RS3,NO,2018,ing. Constantin Pavel,Gradinita cu program prelungit Floarea Albastra + Cresa nr.3 - reabilitare termica
Dolj,Craiova,44.3406521,23.7747285,str. Elena Farago nr. 17,"Jud. Dolj, Mun. Craiova, str. Elena Farago nr. 17",Sp+P+1E,1978,RS3,NO,2018,ing. Constantin Pavel,Gradinita cu program prelungit Piticot + Cresa nr.5 - reabilitare termica
Dolj,Craiova,44.340699,23.771777,str. Gorunului nr.7,"Jud. Dolj, Mun. Craiova, str. Gorunului nr.7",S+4E,1979,RS3,NO,2022,ing. Belgun Ionel,bloc 169E - în curs de reabilitare termică
Dolj,Craiova,44.3384964,23.7696287,str. Paltinului nr.6,"Jud. Dolj, Mun. Craiova, str. Paltinului nr.6",S+4E,1983,RS3,NO,2022,ing. Belgun Ionel,bloc 175C - în curs de reabilitare termică
Dolj,Craiova,44.3253843,23.7937359,ale. Constantin Brancusi nr.11,"Jud. Dolj, Mun. Craiova, ale. Constantin Brancusi nr.11",S+3E,1976,RS3,NO,2022,ing. Belgun Ionel,bloc A2 - in curs de reabilitare termica
Dolj,Craiova,44.3300586,23.7839012,str. George Enescu nr.45,"Jud. Dolj, Mun. Craiova, str. George Enescu nr.45",S+P+4E,1987,RS3,NO,2022,ing. Belgun Ionel,bloc A3 - în curs de reabilitare termică
Dolj,Craiova,44.327005,23.7967297,str. Brazda lui Novac nr.45,"Jud. Dolj, Mun. Craiova, str. Brazda lui Novac nr.45",S+P+4E,1964,RS3,NO,2022,ing. Belgun Ionel,bloc A15 - în curs de reabilitare termică
Dolj,Craiova,44.3272915,23.7969277,str. 1 decembrie 1918 nr.1,"Jud. Dolj, Mun. Craiova, str. 1 decembrie 1918 nr.1",S+P+4E,1964,RS3,NO,2022,ing. Belgun Ionel,bloc A16 - în curs de reabilitare termică
Dolj,Craiova,44.3296442,23.7843998,str. George Enescu nr.43,"Jud. Dolj, Mun. Craiova, str. George Enescu nr.43",S+P+4E,1987,RS3,NO,2022,ing. Belgun Ionel,bloc B2 - în curs de reabilitare termică
Dolj,Craiova,44.3293143,23.784778,str. George Enescu nr.39,"Jud. Dolj, Mun. Craiova, str. George Enescu nr.39",S+P+4E,1987,RS3,NO,2022,ing. Belgun Ionel,bloc B4 - în curs de reabilitare termică
Dolj,Craiova,44.3118396,23.8230678,str. Henry Coanda nr. 49,"Jud. Dolj, Mun. Craiova, str. Henry Coanda nr. 49",S+P+4E+Pod,1983,RS3,NO,2022,ing. Popescu Dan Dumitru,bloc M0 - in curs de reabilitare termica
Dolj,Craiova,44.3118176,23.8233393,str. Mircesti nr. 16,"Jud. Dolj, Mun. Craiova, str. Mircesti nr. 16",S+P+3E,1980,RS3,NO,2022,ing. Popescu Dan Dumitru,bloc M1 - în curs de reabilitare termică
Dolj,Craiova,44.3282279,23.8117441,str. Fratii Golesti nr. 107,"Jud. Dolj, Mun. Craiova, str. Fratii Golesti nr. 107",S+P+4E,1986,RS3,NO,2022,ing. Belgun Ionel,bloc K27 - în curs de reabilitare termică
Dolj,Craiova,44.3277785,23.812125,str. Fratii Golesti nr. 106,"Jud. Dolj, Mun. Craiova, str. Fratii Golesti nr. 106",S+P+4E,1988,RS3,NO,2022,ing. Belgun Ionel,bloc K31 - în curs de reabilitare termică
Dolj,Craiova,44.3275879,23.8119567,str. Fratii Golesti nr. 104,"Jud. Dolj, Mun. Craiova, str. Fratii Golesti nr. 104",S+P+4E,1988,RS3,NO,2022,ing. Belgun Ionel,bloc K32 - în curs de reabilitare termică
Dolj,Craiova,44.3145591,23.8255283,str. Calea Bucuresti nr. 64,"Jud. Dolj, Mun. Craiova, str. Calea Bucuresti nr. 64",Sp+P+1E,1959,RS3,NO,2018,ing. Belgun Ionel,"Spitalul Clinic de Boli Infecţioase şi Pneumoftiziologie ""Victor Babes"" Craiova - cladire pavilion contagiosi II (C3) - reabilitare termica"
Dolj,Craiova,44.31434247,23.82529264,str. Calea Bucuresti nr. 64,"Jud. Dolj, Mun. Craiova, str. Calea Bucuresti nr. 64",S+P+6E,1980,RS3,NO,2018,ing. Belgun Ionel,"Spitalul Clinic de Boli Infecţioase şi Pneumoftiziologie ""Victor Babes"" Craiova - cladire pavilion boli infectioase (C4) - reabilitare termica"
Dolj,Craiova,44.3258999,23.7738287,str. Brestei nr. 144,"Jud. Dolj, Mun. Craiova, str. Brestei nr. 144",Stp+P+2E,1970,RS3,NO,2018,ing. Belgun Ionel,Colegiul Tehnic de Industrie Alimentara - reabilitare termica
Dolj,Craiova,44.2998224,23.7937012,str. Victor Gomoiu nr.26,"Jud. Dolj, Mun. Craiova, str. Victor Gomoiu nr.26",S+P+4E,1981,RS3,NO,2022,Ing. Niculae Teodor,bloc I1 - în curs de reabilitare termică
Dolj,Craiova,44.2979408,23.7947229,str. Victor Gomoiu nr.14A,"Jud. Dolj, Mun. Craiova, str. Victor Gomoiu nr.14A",S+P+4E,1981,RS3,NO,2022,Ing. Niculae Teodor,bloc I11 - în curs de reabilitare termică
Dolj,Craiova,44.3301234,23.7834348,str. Pascani nr. 26,"Jud. Dolj, Mun. Craiova, str. Pascani nr. 26",S+P+4E,1989,RS3,NO,2022,Ing. Niculae Teodor,bloc A1 - în curs de reabilitare termică
Dolj,Craiova,44.329279,23.7839636,str. Razboieni nr. 10,"Jud. Dolj, Mun. Craiova, str. Razboieni nr. 10",S+P+4E,1987,RS3,NO,2022,Ing. Niculae Teodor,bloc B7 - în curs de reabilitare termică
